	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	32	1	17	1	2	9	1776	28	0	27.8279	 	0	4.34907e-07
DL	32	1	19	1	2	10	1776	28	0	53.1602	 	0	0
DL	32	1	21	1	2	11	1776	28	0	48.3897	 	0	0
DL	32	1	23	1	2	12	476	12	0	6.81451	 	0	9.68059e-13
DL	32	1	25	1	2	13	1776	28	0	45.6366	 	0	0
DL	32	1	27	1	2	14	768	16	0	9.46795	 	0	0.00315797
UL	32	3	1	1	1	2	327	9	0	5.00435 	0	0
UL	32	3	2	1	1	3	1351	23	0	17.9918 	0	1.71971e-07
UL	32	3	3	1	1	4	1776	28	0	49.0734 	0	0
UL	32	3	4	1	1	5	1543	25	0	20.5184 	0	0.00233638
UL	32	3	5	1	1	6	768	16	0	9.51707 	0	9.18273e-06
UL	32	3	6	1	1	7	236	7	0	2.42259 	0	1.31455e-08
UL	32	3	7	1	1	8	1776	28	0	44.8716 	0	0
UL	32	3	8	1	1	9	1776	28	0	34.7955 	0	0
UL	32	3	9	1	1	10	1776	28	0	46.6112 	0	0
UL	32	3	10	1	1	11	1640	26	0	23.6758 	0	4.19949e-06
UL	32	3	11	1	1	12	68	2	0	-3.6382 	0	7.30222e-10
UL	32	3	12	1	1	13	1776	28	0	27.5196 	0	0
UL	32	3	13	1	1	14	1776	28	0	39.004 	0	0
UL	32	3	14	1	1	15	768	16	0	9.9713 	0	0
UL	32	3	15	1	1	16	1776	28	0	48.7874 	0	0
UL	32	3	16	1	1	17	1776	28	0	53.792 	0	0
UL	32	3	17	1	1	18	1157	21	0	16.4924 	0	3.15814e-12
UL	32	3	18	1	1	19	619	14	0	8.44648 	0	0
UL	32	3	19	1	1	20	327	9	0	4.66951 	0	3.58957e-12
UL	32	3	20	1	1	21	1776	28	0	38.4111 	0	0
UL	32	3	21	1	1	22	1776	28	0	39.617 	0	0
UL	32	3	22	1	1	23	385	10	0	5.37086 	0	6.18047e-11
UL	32	3	23	1	1	24	1776	28	0	51.8983 	0	0
UL	32	3	24	1	1	25	191	6	0	0.528364 	0	6.80123e-05
UL	32	3	25	1	1	26	236	7	0	2.48635 	0	5.15988e-11
UL	32	3	26	1	1	27	963	19	0	14.0575 	0	8.93479e-08
DL	32	4	1	1	1	2	282	8	0	5.00435	 	0	0
UL	32	4	2	1	1	2	327	9	0	5.00435 	0	0
DL	32	4	3	1	1	3	1254	22	0	17.9918	 	0	0
UL	32	4	4	1	1	3	1351	23	0	17.9918 	0	1.71971e-07
DL	32	4	5	1	1	4	1776	28	0	49.0734	 	0	0
UL	32	4	6	1	1	4	1776	28	0	49.0734 	0	0
DL	32	4	7	1	1	5	1449	24	0	20.5184	 	0	4.15223e-14
UL	32	4	8	1	1	5	1543	25	0	20.5184 	0	0.00233638
DL	32	4	9	1	1	6	768	16	0	9.51707	 	0	9.18273e-06
UL	32	4	10	1	1	6	768	16	0	9.51707 	0	9.18273e-06
DL	32	4	11	1	1	7	191	6	0	2.42259	 	0	0
UL	32	4	12	1	1	7	236	7	0	2.42259 	0	1.31455e-08
DL	32	4	13	1	1	8	1776	28	0	44.8716	 	0	0
UL	32	4	14	1	1	8	1776	28	0	44.8716 	0	0
DL	32	4	15	1	1	9	1776	28	0	34.7955	 	0	0
UL	32	4	16	1	1	9	1776	28	0	34.7955 	0	0
DL	32	4	17	1	1	10	1776	28	0	46.6112	 	0	0
UL	32	4	18	1	1	10	1776	28	0	46.6112 	0	0
DL	32	4	19	1	1	11	1640	26	0	23.6758	 	0	4.19949e-06
UL	32	4	20	1	1	11	1640	26	0	23.6758 	0	4.19949e-06
DL	32	4	21	1	1	12	68	2	0	-3.6382	 	0	7.30222e-10
UL	32	4	22	1	1	12	68	2	0	-3.6382 	0	7.30222e-10
DL	32	4	23	1	1	13	1776	28	0	27.5196	 	0	0
UL	32	4	24	1	1	13	1776	28	0	27.5196 	0	0
DL	32	4	25	1	1	14	1776	28	0	39.004	 	0	0
UL	32	4	26	1	1	14	1776	28	0	39.004 	0	0
DL	32	4	27	1	1	15	768	16	0	9.9713	 	0	0
UL	32	4	28	1	1	15	768	16	0	9.9713 	0	0
DL	32	4	29	1	1	16	1776	28	0	48.7874	 	0	0
UL	32	4	30	1	1	16	1776	28	0	48.7874 	0	0
DL	32	4	31	1	1	17	1776	28	0	53.792	 	0	0
UL	32	4	32	1	1	17	1776	28	0	53.792 	0	0
DL	32	4	33	1	1	18	1060	20	0	16.4924	 	0	0
UL	32	4	34	1	1	18	1157	21	0	16.4924 	0	3.15814e-12
DL	32	4	35	1	1	19	619	14	0	8.44648	 	0	0
UL	32	4	36	1	1	19	619	14	0	8.44648 	0	0
DL	32	4	37	1	1	20	282	8	0	4.66951	 	0	1.15685e-13
UL	32	4	38	1	1	20	327	9	0	4.66951 	0	3.58957e-12
DL	32	4	39	1	1	21	1776	28	0	38.4111	 	0	0
UL	32	4	40	1	1	21	1776	28	0	38.4111 	0	0
DL	32	4	41	1	1	22	1776	28	0	39.617	 	0	0
UL	32	4	42	1	1	22	1776	28	0	39.617 	0	0
DL	32	4	43	1	1	23	385	10	0	5.37086	 	0	6.18047e-11
UL	32	4	44	1	1	23	385	10	0	5.37086 	0	6.18047e-11
DL	32	4	45	1	1	24	1776	28	0	51.8983	 	0	0
UL	32	4	46	1	1	24	1776	28	0	51.8983 	0	0
DL	32	4	47	1	1	25	191	6	0	0.528364	 	0	6.80123e-05
UL	32	4	48	1	1	25	191	6	0	0.528364 	0	6.80123e-05
DL	32	4	49	1	1	26	191	6	0	2.48635	 	0	0
UL	32	4	50	1	1	26	236	7	0	2.48635 	0	5.15988e-11
DL	32	4	51	1	1	27	865	18	0	14.0575	 	0	0
UL	32	4	52	1	1	27	963	19	0	14.0575 	0	8.93479e-08
DL	32	8	1	1	1	2	385	10	0	5.00435	 	0	0.000116057
DL	32	8	2	1	1	3	1254	22	0	17.9918	 	0	0
DL	32	8	3	1	1	4	1776	28	0	49.0734	 	0	0
DL	32	8	4	1	1	5	1449	24	0	20.5184	 	0	4.15223e-14
DL	32	8	5	1	1	6	768	16	0	9.51707	 	0	9.18273e-06
DL	32	8	6	1	1	7	191	6	0	2.42259	 	0	0
DL	32	8	7	1	1	8	1776	28	0	44.8716	 	0	0
DL	32	8	8	1	1	9	1776	28	0	34.7955	 	0	0
DL	32	8	9	1	1	10	1776	28	0	46.6112	 	0	0
DL	32	8	10	1	1	11	1640	26	0	23.6758	 	0	4.19949e-06
DL	32	8	11	1	1	12	68	2	0	-3.6382	 	0	7.30222e-10
DL	32	8	12	1	1	13	1776	28	0	27.5196	 	0	0
DL	32	8	13	1	1	14	1776	28	0	39.004	 	0	0
DL	32	8	14	1	1	15	768	16	0	9.9713	 	0	0
DL	32	8	15	1	1	16	1776	28	0	48.7874	 	0	0
DL	32	8	16	1	1	17	1776	28	0	53.792	 	0	0
DL	32	8	17	1	1	18	1254	22	0	16.4924	 	0	0.080174
DL	32	8	18	1	1	19	619	14	0	8.44648	 	0	0
DL	32	8	19	1	1	20	282	8	0	4.66951	 	0	1.15685e-13
DL	32	8	20	1	1	21	1776	28	0	38.4111	 	0	0
DL	32	8	21	1	1	22	1776	28	0	39.617	 	0	0
DL	32	8	22	1	1	23	385	10	0	5.37086	 	0	6.18047e-11
DL	32	8	23	1	1	24	1776	28	0	51.8983	 	0	0
DL	32	8	24	1	1	25	191	6	0	0.528364	 	0	6.80123e-05
DL	32	8	25	1	1	26	282	8	0	2.48635	 	0	0.026281
DL	32	8	26	1	1	27	865	18	0	14.0575	 	0	0
DL	33	9	1	1	1	2	385	10	0	5.00435	 	0	0.000116057
DL	33	9	2	1	1	3	1254	22	0	17.9918	 	0	0
DL	33	9	3	1	1	4	1776	28	0	49.0734	 	0	0
DL	33	9	4	1	1	5	1449	24	0	20.5184	 	0	4.15223e-14
DL	33	9	5	1	1	6	768	16	0	9.51707	 	0	9.18273e-06
DL	33	9	6	1	1	7	191	6	0	2.42259	 	0	0
DL	33	9	7	1	1	8	1776	28	0	44.8716	 	0	0
DL	33	9	8	1	1	9	1776	28	0	34.7955	 	0	0
DL	33	9	9	1	1	10	1776	28	0	46.6112	 	0	0
DL	33	9	10	1	1	11	1640	26	0	23.6758	 	0	4.19949e-06
DL	33	9	11	1	1	12	68	2	0	-3.6382	 	0	7.30222e-10
DL	33	9	12	1	1	13	1776	28	0	27.5196	 	0	0
DL	33	9	13	1	1	14	1776	28	0	39.004	 	0	0
DL	33	9	14	1	1	15	768	16	0	9.9713	 	0	0
DL	33	9	15	1	1	16	1776	28	0	48.7874	 	0	0
DL	33	9	16	1	1	17	1776	28	0	53.792	 	0	0
DL	33	9	17	1	1	18	1254	22	0	16.4924	 	0	0.080174
DL	33	9	18	1	1	19	619	14	0	8.44648	 	0	0
DL	33	9	19	1	1	20	282	8	0	4.66951	 	0	1.15685e-13
DL	33	9	20	1	1	21	1776	28	0	38.4111	 	0	0
DL	33	9	21	1	1	22	1776	28	0	39.617	 	0	0
DL	33	9	22	1	1	23	385	10	0	5.37086	 	0	6.18047e-11
DL	33	9	23	1	1	24	1776	28	0	51.8983	 	0	0
DL	33	9	24	1	1	25	191	6	0	0.528364	 	0	6.80123e-05
DL	33	9	25	1	1	26	282	8	0	2.48635	 	0	0.026281
DL	33	9	26	1	1	27	865	18	0	14.0575	 	0	0
DL	34	0	1	1	1	2	385	10	0	5.00435	 	0	0.000116057
DL	34	0	2	1	1	3	1254	22	0	17.9918	 	0	0
DL	34	0	3	1	1	4	1776	28	0	49.0734	 	0	0
DL	34	0	4	1	1	5	1449	24	0	20.5184	 	0	4.15223e-14
